Alloy,Doping type,Temperature (K),Doping (cm⁻³),S (µV/K),sigma (S/m),kappa_e (W/(m·K)),ZT_e (-)
HfCr_Ir2_Ge2,n,100.0,-1e+18,477.4892093738622,275.81747639971576,0.000510244620164606,12.324532922633923
HfCr_Ir2_Ge2,n,200.0,-1e+19,366.9143969684119,2500.395501605673,0.014013546619557652,4.804189699632505
HfCr_Ir2_Ge2,n,300.0,-1e+20,246.01290100095844,21312.981957159715,0.14442144322602393,2.6794740529864933
HfCr_Ir2_Ge2,n,400.0,-1e+20,274.7455660652196,20336.29643772788,0.3004680533996859,2.0435954945367705
HfCr_Ir2_Ge2,n,500.0,-1e+20,256.3764399170333,21866.45909233823,0.7495342366099749,0.9587673066985936
HfCr_Ir2_Ge2,n,600.0,-1e+20,202.6753797579822,26803.511329017696,1.5922892144328713,0.4148804584663265
HfCr_Ir2_Ge2,n,700.0,-1e+20,149.04406536782173,35180.28046405724,2.7644352134199957,0.1978883817443529
HfCr_Ir2_Ge2,n,800.0,-1e+20,111.36624462723292,46442.55551739748,4.1969347274284745,0.10979461272661417
HfCr_Ir2_Ge2,n,900.0,-1e+20,87.8192026161715,59914.8218265046,5.85588938676528,0.07101709379862609
HfCr_Ir2_Ge2,n,1000.0,-1e+20,73.18504810445559,75019.49206780964,7.7106426059533,0.05211086364683781
HfCr_Ir2_Ge2,n,1100.0,-1e+20,64.52434871934015,91324.76515598946,9.725941391622635,0.043002812483549986
HfCr_Ir2_Ge2,n,1200.0,-1e+20,58.926756529105596,108423.96889557496,11.867371370473093,0.03806949255224442
HfCr_Ir2_Ge2,n,1300.0,-1e+20,55.7308367367882,126030.01074400084,14.103913989542347,0.03608018883558433
HfCr_Ir2_Ge2,p,100.0,1e+18,477.4892093738622,275.81747639971576,0.000510244620164606,12.324532922633923
HfCr_Ir2_Ge2,p,200.0,1e+19,366.9143969684119,2500.395501605673,0.014013546619557652,4.804189699632505
HfCr_Ir2_Ge2,p,300.0,1e+20,246.01290100095844,21312.981957159715,0.14442144322602393,2.6794740529864933
HfCr_Ir2_Ge2,p,400.0,1e+20,274.7455660652196,20336.29643772788,0.3004680533996859,2.0435954945367705
HfCr_Ir2_Ge2,p,500.0,1e+20,256.3764399170333,21866.45909233823,0.7495342366099749,0.9587673066985936
HfCr_Ir2_Ge2,p,600.0,1e+20,202.6753797579822,26803.511329017696,1.5922892144328713,0.4148804584663265
