Alloy,Doping type,Temperature (K),Doping (cm⁻³),S (µV/K),sigma (S/m),kappa_e (W/(m·K)),ZT_e (-)
HfCr_Ir2_Sn2,n,500.0,1e+20,-152.76109398109827,29114.15927575053,0.43835215911882014,0.774955255063485
HfCr_Ir2_Sn2,n,600.0,1e+20,-144.86835056370856,29266.244486932846,0.8528568830653325,0.43210482783191567
HfCr_Ir2_Sn2,n,700.0,1e+20,-107.28320953567214,32597.601888864596,1.666064850012666,0.15763596320009063
HfCr_Ir2_Sn2,n,800.0,1e+20,-62.86460690435299,39185.79732753621,2.8213124471404107,0.043911664385581736
HfCr_Ir2_Sn2,n,900.0,1e+16,41.961269777075906,45084.84700435734,4.538981975268498,0.01574025975611651
HfCr_Ir2_Sn2,n,1000.0,1e+16,45.58393227400626,57355.444521394755,6.001266557311854,0.019858905359814005
HfCr_Ir2_Sn2,n,1100.0,1e+16,48.20791736670859,70441.83127846688,7.607079715055619,0.02367238936414796
HfCr_Ir2_Sn2,n,1200.0,1e+16,49.63059123837177,84119.6785424286,9.325373168997821,0.026663154451772694
HfCr_Ir2_Sn2,n,1300.0,1e+16,50.62351220269929,98181.8589669004,11.132090017099813,0.02938342650443971
HfCr_Ir2_Sn2,p,100.0,1e+17,674.2272181992562,27.575900788734845,5.1314860652396285e-05,24.428630220042592
HfCr_Ir2_Sn2,p,200.0,1e+19,376.24590277379,2413.097840621139,0.009623465534776972,7.099323884125549
HfCr_Ir2_Sn2,p,300.0,1e+20,249.3912609862108,20469.67417846267,0.12654228375531332,3.0182761975927277
HfCr_Ir2_Sn2,p,400.0,1e+20,288.38766641571755,18962.801539069416,0.20721422977935192,3.044361919269214
HfCr_Ir2_Sn2,p,500.0,1e+20,291.79926220408566,18880.24860451939,0.47833686267859493,1.6803983293100238
HfCr_Ir2_Sn2,p,600.0,1e+20,249.28063047190503,21325.94130872664,1.1089079840410294,0.7170360953558045
HfCr_Ir2_Sn2,p,700.0,1e+20,189.44823683316562,26981.868976665166,2.0652351887691682,0.3282325813717251
HfCr_Ir2_Sn2,p,800.0,1e+20,142.46955809813713,35487.683961571434,3.228223401881769,0.17850410868657685
HfCr_Ir2_Sn2,p,900.0,1e+20,112.25635250781734,46073.17464078908,4.552601462731999,0.11477647099757549
HfCr_Ir2_Sn2,p,1000.0,1e+20,94.12833777568544,58134.09711354036,6.022267770686849,0.08552865627120598
HfCr_Ir2_Sn2,p,1100.0,1e+20,82.25697809310441,71162.0088805699,7.62291130624633,0.06948091342990229
HfCr_Ir2_Sn2,p,1200.0,1e+20,74.69029600364415,84865.74044955235,9.331633786683483,0.060881357160291485
HfCr_Ir2_Sn2,p,1300.0,1e+20,69.45828657893834,98973.61045567818,11.127985130114618,0.05578203584089155
